batch_size,learning_rate,rank,alpha,parameters,trainable_parameters,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
16,0.0001,2,4,4388226,2048,16.6348,882.006,55.306,2773841181888.0,0.002569593942683676,4.0,4.49067497253418,0.7107843137254902,0.802013422818792,1.3517,301.85,19.236
16,5e-05,2,4,4388226,2048,16.6135,883.138,55.377,2773841181888.0,0.0021308863616507985,4.0,4.478538990020752,0.7156862745098039,0.8060200668896321,1.3633,299.272,19.071
16,3e-05,2,4,4388226,2048,16.5436,886.867,55.611,2773841181888.0,0.0021004162728786467,4.0,4.47650671005249,0.7132352941176471,0.8040201005025126,1.3964,292.171,18.619
32,0.0003,2,4,4388226,2048,12.7347,1152.127,36.122,2919802898544.0,0.0026951631774073063,4.0,4.692212104797363,0.7034313725490197,0.7993366500829188,1.3349,305.647,9.739
32,0.0001,2,4,4388226,2048,12.7449,1151.203,36.093,2919802898544.0,0.0013100709604180378,4.0,4.534541606903076,0.7156862745098039,0.8060200668896321,1.3122,310.92,9.907
32,5e-05,2,4,4388226,2048,12.8882,1138.405,35.692,2919802898544.0,0.0013627284246942272,4.0,4.507194519042969,0.7107843137254902,0.802013422818792,1.3407,304.329,9.697
32,3e-05,2,4,4388226,2048,13.3564,1098.5,34.44,2919802898544.0,0.0013799460037894871,4.0,4.494450569152832,0.7132352941176471,0.8040201005025126,1.325,307.934,9.812
64,0.0003,2,4,4388226,2048,10.7009,1371.099,21.68,3050752493040.0,0.0005808307564464109,4.0,4.613085746765137,0.7156862745098039,0.8073089700996677,1.3138,310.553,5.328
64,0.0001,2,4,4388226,2048,10.7675,1362.616,21.546,3050752493040.0,0.0007818554495943004,4.0,4.523775577545166,0.7181372549019608,0.8092868988391376,1.3154,310.181,5.322
64,5e-05,2,4,4388226,2048,10.6283,1380.469,21.829,3050752493040.0,0.0008426171823822219,4.0,4.4934892654418945,0.7181372549019608,0.8086522462562395,1.3395,304.596,5.226
64,3e-05,2,4,4388226,2048,10.8365,1353.938,21.409,3050752493040.0,0.0008601367730518867,4.0,4.485208034515381,0.7132352941176471,0.8040201005025126,1.2881,316.758,5.435
128,0.0003,2,4,4388226,2048,9.8972,1482.434,11.72,3184195795536.0,0.0015397106522116169,4.0,4.568580627441406,0.7083333333333334,0.8006700167504187,1.3356,305.472,2.995
128,0.0001,2,4,4388226,2048,10.0244,1463.63,11.572,3184195795536.0,0.0012572740429434284,4.0,4.508450508117676,0.7107843137254902,0.802013422818792,1.2924,315.695,3.095
128,5e-05,2,4,4388226,2048,9.816,1494.696,11.817,3184195795536.0,0.0011535757060708671,4.0,4.487822532653809,0.7083333333333334,0.8006700167504187,1.2836,317.866,3.116
128,3e-05,2,4,4388226,2048,9.8129,1495.182,11.821,3184195795536.0,0.001100512157226431,4.0,4.480278015136719,0.7107843137254902,0.802675585284281,1.2983,314.25,3.081
8,0.0003,2,8,4388226,2048,25.5721,573.751,71.797,2622602779104.0,0.009314733522909659,4.0,4.509554862976074,0.6985294117647058,0.7932773109243697,1.4793,275.801,34.475
8,0.0001,2,8,4388226,2048,25.1988,582.25,72.861,2622602779104.0,0.001266613705833199,4.0,4.550628185272217,0.7034313725490197,0.7959527824620574,1.4945,273.003,34.125
8,5e-05,2,8,4388226,2048,25.5103,575.141,71.971,2622602779104.0,0.0012329410404486334,4.0,4.539191722869873,0.7034313725490197,0.7966386554621848,1.5241,267.696,33.462
8,3e-05,2,8,4388226,2048,24.6827,594.425,74.384,2622602779104.0,0.0015360465220506415,4.0,4.513413429260254,0.7083333333333334,0.8,1.4794,275.793,34.474
16,0.0003,2,8,4388226,2048,16.2214,904.481,56.715,2773841181888.0,0.009750483865323274,4.0,4.413218021392822,0.7034313725490197,0.7959527824620574,1.3673,298.399,19.016
16,0.0001,2,8,4388226,2048,16.6831,879.452,55.146,2773841181888.0,0.0030945104101429816,4.0,4.520930767059326,0.7107843137254902,0.8039867109634552,1.3465,303.007,19.309
16,5e-05,2,8,4388226,2048,16.6288,882.326,55.326,2773841181888.0,0.002565226833457532,4.0,4.49321174621582,0.7132352941176471,0.8040201005025126,1.3797,295.709,18.844
16,3e-05,2,8,4388226,2048,16.953,865.452,54.268,2773841181888.0,0.0021946788967951484,4.0,4.482306480407715,0.7156862745098039,0.8060200668896321,1.3375,305.043,19.439
32,0.0003,2,8,4388226,2048,12.9161,1135.948,35.615,2919802898544.0,0.00381775394729946,4.0,4.521228790283203,0.7132352941176471,0.8033613445378152,1.357,300.66,9.58
32,0.0001,2,8,4388226,2048,12.5477,1169.298,36.66,2919802898544.0,0.0015288623778716378,4.0,4.591878414154053,0.7132352941176471,0.8046744574290484,1.351,301.994,9.622
32,5e-05,2,8,4388226,2048,12.6414,1160.627,36.388,2919802898544.0,0.0013029343408087026,4.0,4.537450313568115,0.7156862745098039,0.8060200668896321,1.3219,308.639,9.834
32,3e-05,2,8,4388226,2048,12.2093,1201.706,37.676,2919802898544.0,0.0013469228278035702,4.0,4.514975547790527,0.7132352941176471,0.8040201005025126,1.5124,269.777,8.596
64,0.0003,2,8,4388226,2048,10.6505,1377.584,21.783,3050752493040.0,0.0015995317491991766,4.0,4.643556594848633,0.7009803921568627,0.7953020134228188,1.326,307.691,5.279
64,0.0001,2,8,4388226,2048,10.2813,1427.059,22.565,3050752493040.0,0.0007581796882481411,4.0,4.604390621185303,0.7156862745098039,0.8073089700996677,1.3072,312.128,5.355
64,5e-05,2,8,4388226,2048,10.5159,1395.214,22.062,3050752493040.0,0.0007868472743650962,4.0,4.535228729248047,0.7181372549019608,0.8092868988391376,1.2969,314.589,5.397
64,3e-05,2,8,4388226,2048,10.6479,1377.926,21.788,3050752493040.0,0.000837247112187846,4.0,4.505899906158447,0.7181372549019608,0.8086522462562395,1.3789,295.884,5.076
128,0.0003,2,8,4388226,2048,9.8013,1496.942,11.835,3184195795536.0,0.0018595216860031259,4.0,4.64461088180542,0.7034313725490197,0.7959527824620574,1.2918,315.826,3.096
128,0.0001,2,8,4388226,2048,9.8364,1491.606,11.793,3184195795536.0,0.0015223587638345257,4.0,4.568406105041504,0.7083333333333334,0.8006700167504187,1.2639,322.821,3.165
128,5e-05,2,8,4388226,2048,9.715,1510.239,11.94,3184195795536.0,0.0013056132813979839,4.0,4.524259090423584,0.7083333333333334,0.8006700167504187,1.2915,315.924,3.097
128,3e-05,2,8,4388226,2048,9.5679,1533.459,12.124,3184195795536.0,0.0012184859349809844,4.0,4.503298282623291,0.7083333333333334,0.8006700167504187,1.3563,300.829,2.949
8,0.0003,2,16,4388226,2048,25.143,583.543,73.022,2622602779104.0,0.01767668446164765,4.0,4.329929828643799,0.7058823529411765,0.7966101694915254,2.34,174.359,21.795
8,0.0001,2,16,4388226,2048,25.1828,582.619,72.907,2622602779104.0,0.006520145629534665,4.0,4.668581008911133,0.6911764705882353,0.7842465753424658,1.4504,281.306,35.163
8,5e-05,2,16,4388226,2048,25.0499,585.71,73.294,2622602779104.0,0.001016675112457045,4.0,4.512824535369873,0.7058823529411765,0.8,1.4917,273.51,34.189
8,3e-05,2,16,4388226,2048,24.2851,604.155,75.602,2622602779104.0,0.0011115782206354578,4.0,4.558269023895264,0.6985294117647058,0.7939698492462312,1.4403,283.281,35.41
16,0.0003,2,16,4388226,2048,15.8444,926.003,58.065,2773841181888.0,0.01601219902867856,4.0,4.756629467010498,0.6838235294117647,0.7831932773109244,1.472,277.179,17.663
16,0.0001,2,16,4388226,2048,16.1883,906.336,56.831,2773841181888.0,0.004002435311027195,4.0,4.665558338165283,0.6985294117647058,0.7939698492462312,1.3827,295.074,18.804
16,5e-05,2,16,4388226,2048,16.3409,897.868,56.3,2773841181888.0,0.003099020538122758,4.0,4.536605358123779,0.7083333333333334,0.802653399668325,1.8956,215.231,13.716
16,3e-05,2,16,4388226,2048,16.2255,904.256,56.701,2773841181888.0,0.0027123838663101196,4.0,4.504148006439209,0.7132352941176471,0.8053244592346089,1.3483,302.613,19.284
32,0.0003,2,16,4388226,2048,12.3574,1187.309,37.225,2919802898544.0,0.01010054298069166,4.0,4.695729732513428,0.6862745098039216,0.782312925170068,1.3391,304.684,9.708
32,0.0001,2,16,4388226,2048,12.6119,1163.349,36.474,2919802898544.0,0.002555187888767408,4.0,4.566871643066406,0.7107843137254902,0.8052805280528053,1.3487,302.52,9.639
32,5e-05,2,16,4388226,2048,12.5453,1169.525,36.667,2919802898544.0,0.0014986084855121114,4.0,4.592796325683594,0.7132352941176471,0.8046744574290484,1.3349,305.638,9.738
32,3e-05,2,16,4388226,2048,12.956,1132.451,35.505,2919802898544.0,0.001299122235049372,4.0,4.55203104019165,0.7156862745098039,0.8060200668896321,1.3674,298.375,9.507
64,0.0003,2,16,4388226,2048,10.5217,1394.454,22.05,3050752493040.0,0.003933194382437344,4.0,4.928093910217285,0.6691176470588235,0.7684391080617495,1.3227,308.455,5.292
64,0.0001,2,16,4388226,2048,10.4142,1408.847,22.277,3050752493040.0,2.333258102037783e-06,4.0,4.688931465148926,0.7181372549019608,0.8092868988391376,1.3103,311.369,5.342
64,5e-05,2,16,4388226,2048,10.4939,1398.15,22.108,3050752493040.0,0.0007343326920065386,4.0,4.62278938293457,0.7156862745098039,0.8073089700996677,1.2939,315.329,5.41
64,3e-05,2,16,4388226,2048,10.503,1396.938,22.089,3050752493040.0,0.0007586272369171011,4.0,4.564915180206299,0.7156862745098039,0.8073089700996677,1.2849,317.529,5.448
128,0.0003,2,16,4388226,2048,9.6679,1517.597,11.998,3184195795536.0,0.0027252749122422316,4.0,4.764124393463135,0.6936274509803921,0.7884940778341794,1.2857,317.343,3.111
128,0.0001,2,16,4388226,2048,9.6986,1512.789,11.96,3184195795536.0,0.001778355960188241,4.0,4.648277759552002,0.7034313725490197,0.7959527824620574,1.3086,311.786,3.057
128,5e-05,2,16,4388226,2048,9.5784,1531.778,12.111,3184195795536.0,0.0016033212686407156,4.0,4.5875773429870605,0.7083333333333334,0.8006700167504187,1.2761,319.719,3.135
128,3e-05,2,16,4388226,2048,9.6265,1524.12,12.05,3184195795536.0,0.001437288548411994,4.0,4.552970886230469,0.7083333333333334,0.8006700167504187,1.2734,320.397,3.141
8,0.0003,4,1,4390274,4096,24.7772,592.158,74.1,2635525921248.0,0.0019398886210250635,4.0,4.462545871734619,0.7156862745098039,0.8073089700996677,1.5853,257.363,32.17
8,0.0001,4,1,4390274,4096,23.9548,612.487,76.644,2635525921248.0,0.0017993121462709764,4.0,4.467083930969238,0.7107843137254902,0.802675585284281,1.4934,273.204,34.15
8,5e-05,4,1,4390274,4096,24.2011,606.255,75.864,2635525921248.0,0.0017602983983903149,4.0,4.470458984375,0.7132352941176471,0.8040201005025126,1.469,277.738,34.717
8,3e-05,4,1,4390274,4096,75.6866,193.852,24.258,2635525921248.0,0.0017438998571668056,4.0,4.471879005432129,0.7132352941176471,0.8040201005025126,1.4361,284.109,35.514
16,0.0003,4,1,4390274,4096,15.9103,922.167,57.824,2787509566656.0,0.0022151042464310707,4.0,4.488035678863525,0.7132352941176471,0.8040201005025126,1.3845,294.683,18.779
16,0.0001,4,1,4390274,4096,16.396,894.853,56.111,2787509566656.0,0.002152621049595916,4.0,4.477443218231201,0.7132352941176471,0.8040201005025126,1.4401,283.312,18.054
16,5e-05,4,1,4390274,4096,16.3787,895.796,56.17,2787509566656.0,0.0021259241534963896,4.0,4.475865840911865,0.7132352941176471,0.8040201005025126,1.3577,300.513,19.15
16,3e-05,4,1,4390274,4096,15.8779,924.05,57.942,2787509566656.0,0.002113129911215409,4.0,4.475193023681641,0.7132352941176471,0.8040201005025126,1.3673,298.405,19.016
32,0.0003,4,1,4390274,4096,12.2997,1192.87,37.399,2934190524528.0,0.001304177356802899,4.0,4.465904235839844,0.7156862745098039,0.8060200668896321,1.3475,302.79,9.648
32,0.0001,4,1,4390274,4096,12.1193,1210.635,37.956,2934190524528.0,0.00133650963721068,4.0,4.470537185668945,0.7156862745098039,0.8060200668896321,1.3338,305.887,9.746
32,5e-05,4,1,4390274,4096,12.343,1188.693,37.268,2934190524528.0,0.0013457411009332408,4.0,4.472222328186035,0.7132352941176471,0.8040201005025126,1.3518,301.82,9.617
32,3e-05,4,1,4390274,4096,12.5179,1172.083,36.747,2934190524528.0,0.0013495077257571013,4.0,4.472932815551758,0.7132352941176471,0.8040201005025126,1.2958,314.855,10.032
64,0.0003,4,1,4390274,4096,10.401,1410.629,22.305,3065785386480.0,0.0007346815204825895,4.0,4.491910934448242,0.7107843137254902,0.8033333333333333,1.2986,314.185,5.39
64,0.0001,4,1,4390274,4096,10.4912,1398.502,22.114,3065785386480.0,0.0008382309099723553,4.0,4.478879451751709,0.7132352941176471,0.8040201005025126,1.3421,303.991,5.216
64,5e-05,4,1,4390274,4096,10.5071,1396.385,22.08,3065785386480.0,0.0008605147615588944,4.0,4.476370811462402,0.7132352941176471,0.8040201005025126,1.3225,308.512,5.293
64,3e-05,4,1,4390274,4096,10.3453,1418.231,22.426,3065785386480.0,0.0008689953206941999,4.0,4.47542667388916,0.7132352941176471,0.8040201005025126,1.3157,310.111,5.321
128,0.0003,4,1,4390274,4096,9.7805,1500.135,11.86,3199886244432.0,0.001022691999016137,4.0,4.48081111907959,0.7132352941176471,0.8040201005025126,1.3485,302.559,2.966
128,0.0001,4,1,4390274,4096,9.6277,1523.943,12.049,3199886244432.0,0.0010253628394727048,4.0,4.476336479187012,0.7132352941176471,0.8040201005025126,1.3311,306.518,3.005
128,5e-05,4,1,4390274,4096,9.8379,1491.369,11.791,3199886244432.0,0.0010259687772084926,4.0,4.475185394287109,0.7132352941176471,0.8040201005025126,1.2654,322.431,3.161
128,3e-05,4,1,4390274,4096,9.6476,1520.8,12.024,3199886244432.0,0.001026232758986539,4.0,4.47472620010376,0.7132352941176471,0.8040201005025126,1.2771,319.475,3.132
8,0.0003,4,2,4390274,4096,24.4245,600.709,75.171,2635525921248.0,0.001788327293579562,4.0,4.4478440284729,0.7107843137254902,0.804635761589404,1.4527,280.852,35.106
8,0.0001,4,2,4390274,4096,24.9274,588.589,73.654,2635525921248.0,0.0018604268788609628,4.0,4.464235782623291,0.7107843137254902,0.8033333333333333,1.4973,272.495,34.062
8,5e-05,4,2,4390274,4096,24.8443,590.557,73.9,2635525921248.0,0.0018002882291418794,4.0,4.467601776123047,0.7107843137254902,0.802675585284281,1.4507,281.249,35.156
8,3e-05,4,2,4390274,4096,24.1997,606.288,75.869,2635525921248.0,0.0017681439977325906,4.0,4.470021724700928,0.7132352941176471,0.8040201005025126,1.4891,273.998,34.25
16,0.0003,4,2,4390274,4096,15.7345,932.472,58.47,2787509566656.0,0.0022839951409917812,4.0,4.502146244049072,0.7132352941176471,0.8040201005025126,1.3715,297.477,18.957
16,0.0001,4,2,4390274,4096,15.8619,924.985,58.001,2787509566656.0,0.0021892188400354073,4.0,4.483009338378906,0.7132352941176471,0.8040201005025126,1.37,297.806,18.978
16,5e-05,4,2,4390274,4096,15.9438,920.234,57.703,2787509566656.0,0.0021549800734805024,4.0,4.478781223297119,0.7132352941176471,0.8040201005025126,1.4084,289.695,18.461
16,3e-05,4,2,4390274,4096,15.7653,930.649,58.356,2787509566656.0,0.0021349854038461395,4.0,4.476927280426025,0.7132352941176471,0.8040201005025126,1.3716,297.458,18.956
32,0.0003,4,2,4390274,4096,12.2885,1193.962,37.433,2934190524528.0,0.0013176347898400348,4.0,4.472403526306152,0.7156862745098039,0.8066666666666666,1.3303,306.69,9.772
32,0.0001,4,2,4390274,4096,12.1373,1208.837,37.9,2934190524528.0,0.0013194146363631539,4.0,4.467951774597168,0.7156862745098039,0.8060200668896321,1.3276,307.328,9.792
32,5e-05,4,2,4390274,4096,12.4037,1182.87,37.086,2934190524528.0,0.0013362469880477243,4.0,4.470598220825195,0.7156862745098039,0.8060200668896321,1.3511,301.98,9.622
32,3e-05,4,2,4390274,4096,12.3535,1187.678,37.236,2934190524528.0,0.0013436275979746943,4.0,4.471899509429932,0.7156862745098039,0.8060200668896321,1.3017,313.428,9.987
64,0.0003,4,2,4390274,4096,10.572,1387.813,21.945,3065785386480.0,0.0006324853105791684,4.0,4.538693428039551,0.7132352941176471,0.8059701492537313,1.2904,316.191,5.425
64,0.0001,4,2,4390274,4096,10.7299,1367.395,21.622,3065785386480.0,0.0007852078254880576,4.0,4.49094820022583,0.7083333333333334,0.8013355592654424,1.3123,310.912,5.334
64,5e-05,4,2,4390274,4096,10.4564,1403.159,22.187,3065785386480.0,0.0008370912922867413,4.0,4.481870174407959,0.7132352941176471,0.8040201005025126,1.3224,308.528,5.293
64,3e-05,4,2,4390274,4096,10.2014,1438.238,22.742,3065785386480.0,0.0008558557722075232,4.0,4.478626728057861,0.7132352941176471,0.8040201005025126,1.2936,315.4,5.411
128,0.0003,4,2,4390274,4096,9.6982,1512.86,11.961,3199886244432.0,0.0010067099898025907,4.0,4.498486042022705,0.7083333333333334,0.8013355592654424,1.3097,311.524,3.054
128,0.0001,4,2,4390274,4096,9.7175,1509.858,11.937,3199886244432.0,0.0010186526282080289,4.0,4.482395648956299,0.7132352941176471,0.8040201005025126,1.3074,312.072,3.06
128,5e-05,4,2,4390274,4096,9.6466,1520.956,12.025,3199886244432.0,0.0010227422904351662,4.0,4.478266716003418,0.7132352941176471,0.8040201005025126,1.2799,318.766,3.125
128,3e-05,4,2,4390274,4096,9.7956,1497.811,11.842,3199886244432.0,0.0010242009342744432,4.0,4.476589679718018,0.7132352941176471,0.8040201005025126,1.3229,308.406,3.024
8,0.0003,4,4,4390274,4096,25.4869,575.668,72.037,2635525921248.0,0.00525473736729757,4.0,4.397266387939453,0.7058823529411765,0.797979797979798,1.4813,275.425,34.428
8,0.0001,4,4,4390274,4096,24.8827,589.646,73.786,2635525921248.0,0.0020823959296179654,4.0,4.465426445007324,0.7132352941176471,0.8053244592346089,1.5263,267.308,33.413
8,5e-05,4,4,4390274,4096,24.1273,608.108,76.096,2635525921248.0,0.0018601407538409586,4.0,4.465747356414795,0.7107843137254902,0.8033333333333333,1.5051,271.086,33.886
8,3e-05,4,4,4390274,4096,24.5296,598.134,74.848,2635525921248.0,0.0018130442074830756,4.0,4.467899799346924,0.7083333333333334,0.8013355592654424,1.5586,261.78,32.722
16,0.0003,4,4,4390274,4096,16.6093,883.36,55.391,2787509566656.0,0.00294463064359582,4.0,4.5806193351745605,0.7034313725490197,0.800658978583196,1.4039,290.614,18.52
16,0.0001,4,4,4390274,4096,16.6483,881.293,55.261,2787509566656.0,0.002200299199751538,4.0,4.49801778793335,0.7181372549019608,0.8080133555926544,1.3855,294.476,18.766
16,5e-05,4,4,4390274,4096,16.694,878.88,55.11,2787509566656.0,0.0021777590655762216,4.0,4.48539400100708,0.7132352941176471,0.8040201005025126,1.472,277.174,17.663
16,3e-05,4,4,4390274,4096,16.8744,869.481,54.52,2787509566656.0,0.002163417305311431,4.0,4.481370449066162,0.7132352941176471,0.8040201005025126,1.4045,290.505,18.513
32,0.0003,4,4,4390274,4096,13.0485,1124.42,35.253,2934190524528.0,0.001453882326250491,4.0,4.493300914764404,0.7181372549019608,0.8086522462562395,1.3016,313.451,9.987
32,0.0001,4,4,4390274,4096,12.7625,1149.619,36.043,2934190524528.0,0.0013100006010221398,4.0,4.468372344970703,0.7156862745098039,0.8060200668896321,1.3552,301.072,9.593
32,5e-05,4,4,4390274,4096,12.8694,1140.065,35.744,2934190524528.0,0.0013202496196912683,4.0,4.468564510345459,0.7156862745098039,0.8060200668896321,1.3269,307.49,9.797
32,3e-05,4,4,4390274,4096,12.8285,1143.702,35.858,2934190524528.0,0.0013322389644125233,4.0,4.470313549041748,0.7156862745098039,0.8060200668896321,1.3126,310.839,9.904
64,0.0003,4,4,4390274,4096,11.078,1324.426,20.942,3065785386480.0,0.0007174136438246431,4.0,4.634774684906006,0.7083333333333334,0.8019966722129783,1.3472,302.86,5.196
64,0.0001,4,4,4390274,4096,11.0902,1322.973,20.919,3065785386480.0,0.0006808002061884979,4.0,4.530508995056152,0.7156862745098039,0.8073089700996677,1.3325,306.182,5.253
64,5e-05,4,4,4390274,4096,10.6198,1381.577,21.846,3065785386480.0,0.0007846837799096929,4.0,4.499046802520752,0.7083333333333334,0.8013355592654424,1.2858,317.324,5.444
64,3e-05,4,4,4390274,4096,10.5735,1387.621,21.942,3065785386480.0,0.0008278378638727911,4.0,4.488190174102783,0.7107843137254902,0.802675585284281,1.3261,307.665,5.279
128,0.0003,4,4,4390274,4096,10.4324,1406.386,11.119,3199886244432.0,0.0009638105101626495,4.0,4.549690246582031,0.7083333333333334,0.8019966722129783,1.3152,310.211,3.041
128,0.0001,4,4,4390274,4096,10.1932,1439.385,11.38,3199886244432.0,0.0009961271465852343,4.0,4.502037525177002,0.7107843137254902,0.8033333333333333,1.7119,238.334,2.337
128,5e-05,4,4,4390274,4096,10.1067,1451.71,11.478,3199886244432.0,0.0010109722357371758,4.0,4.488397121429443,0.7107843137254902,0.802675585284281,1.3145,310.378,3.043
128,3e-05,4,4,4390274,4096,9.9832,1469.668,11.62,3199886244432.0,0.001015790706050807,4.0,4.482692241668701,0.7132352941176471,0.8040201005025126,1.2873,316.933,3.107
8,0.0003,4,8,4390274,4096,25.2277,581.584,72.777,2635525921248.0,0.006681912182982451,4.0,4.385341167449951,0.6985294117647058,0.7904599659284497,1.4823,275.241,34.405
8,0.0001,4,8,4390274,4096,24.937,588.363,73.626,2635525921248.0,0.001845305737347417,4.0,4.394692897796631,0.7083333333333334,0.8019966722129783,1.4911,273.619,34.202
8,5e-05,4,8,4390274,4096,25.0098,586.649,73.411,2635525921248.0,0.0020508867021942255,4.0,4.466883182525635,0.7132352941176471,0.8053244592346089,1.4702,277.514,34.689
8,3e-05,4,8,4390274,4096,24.6202,595.934,74.573,2635525921248.0,0.0018905225587290487,4.0,4.46865701675415,0.7107843137254902,0.8033333333333333,1.4726,277.058,34.632
16,0.0003,4,8,4390274,4096,15.9881,917.683,57.543,2787509566656.0,0.005028825285642044,4.0,4.545282363891602,0.7058823529411765,0.7986577181208053,1.39,293.535,18.706
16,0.0001,4,8,4390274,4096,16.0226,915.706,57.419,2787509566656.0,0.002547515329459439,4.0,4.551565647125244,0.7083333333333334,0.8013355592654424,1.3602,299.951,19.115
16,5e-05,4,8,4390274,4096,16.7185,877.589,55.029,2787509566656.0,0.0021849781234303247,4.0,4.507040023803711,0.7156862745098039,0.8066666666666666,1.3978,291.89,18.601
16,3e-05,4,8,4390274,4096,16.092,911.757,57.171,2787509566656.0,0.002160333805596051,4.0,4.491642951965332,0.7156862745098039,0.8060200668896321,1.3761,296.496,18.894
32,0.0003,4,8,4390274,4096,12.7772,1148.298,36.002,2934190524528.0,0.002433013138563737,4.0,4.420674800872803,0.7107843137254902,0.802675585284281,1.3131,310.722,9.9
32,0.0001,4,8,4390274,4096,12.6651,1158.455,36.32,2934190524528.0,0.0012776181749675586,4.0,4.482794761657715,0.7181372549019608,0.8086522462562395,1.3643,299.056,9.529
32,5e-05,4,8,4390274,4096,12.8309,1143.488,35.851,2934190524528.0,0.0013089921163476031,4.0,4.471495628356934,0.7132352941176471,0.8046744574290484,1.3205,308.962,9.844
32,3e-05,4,8,4390274,4096,12.6444,1160.351,36.38,2934190524528.0,0.001324248054753179,4.0,4.46925163269043,0.7156862745098039,0.8060200668896321,1.3217,308.689,9.836
64,0.0003,4,8,4390274,4096,10.4734,1400.888,22.151,3065785386480.0,0.0007231832835181006,4.0,4.78878116607666,0.7132352941176471,0.8059701492537313,1.308,311.917,5.352
64,0.0001,4,8,4390274,4096,10.388,1412.401,22.333,3065785386480.0,0.0007617566734552383,4.0,4.610698223114014,0.7083333333333334,0.8019966722129783,1.3096,311.55,5.345
64,5e-05,4,8,4390274,4096,10.5137,1395.516,22.067,3065785386480.0,0.0006969889690136088,4.0,4.547612190246582,0.7156862745098039,0.8073089700996677,1.3105,311.333,5.341
64,3e-05,4,8,4390274,4096,10.5072,1396.371,22.08,3065785386480.0,0.0007638272925697524,4.0,4.516313552856445,0.7107843137254902,0.8033333333333333,1.2944,315.202,5.408
128,0.0003,4,8,4390274,4096,9.7425,1505.972,11.907,3199886244432.0,0.0009629748247820755,4.0,4.656181812286377,0.7083333333333334,0.8013355592654424,1.3446,303.431,2.975
128,0.0001,4,8,4390274,4096,10.0328,1462.4,11.562,3199886244432.0,0.000953035621807493,4.0,4.554482936859131,0.7083333333333334,0.8019966722129783,1.3762,296.478,2.907
128,5e-05,4,8,4390274,4096,9.8844,1484.366,11.736,3199886244432.0,0.0009758433905141107,4.0,4.517416000366211,0.7107843137254902,0.8033333333333333,1.3015,313.476,3.073
128,3e-05,4,8,4390274,4096,9.8939,1482.929,11.724,3199886244432.0,0.0009918512840723169,4.0,4.500821113586426,0.7083333333333334,0.8013355592654424,1.3069,312.18,3.061
8,0.0003,4,16,4390274,4096,25.6337,572.372,71.624,2635525921248.0,0.016676844335069843,4.0,4.255577564239502,0.7034313725490197,0.7924528301886793,1.4611,279.245,34.906
8,0.0001,4,16,4390274,4096,25.3738,578.234,72.358,2635525921248.0,0.00518348787085423,4.0,4.314993858337402,0.7083333333333334,0.802653399668325,1.4551,280.399,35.05
8,5e-05,4,16,4390274,4096,25.8451,567.689,71.039,2635525921248.0,0.001733707543310338,4.0,4.414802551269531,0.7083333333333334,0.8019966722129783,1.479,275.861,34.483
8,3e-05,4,16,4390274,4096,25.4569,576.347,72.122,2635525921248.0,0.0019854205439358234,4.0,4.469064235687256,0.7132352941176471,0.8053244592346089,1.4579,279.852,34.981
16,0.0003,4,16,4390274,4096,16.2082,905.221,56.761,2787509566656.0,0.014300672904304836,4.0,4.51060676574707,0.7034313725490197,0.7931623931623931,1.4545,280.515,17.876
16,0.0001,4,16,4390274,4096,16.4975,889.345,55.766,2787509566656.0,0.005644569319227468,4.0,4.646237850189209,0.7058823529411765,0.8026315789473685,1.3999,291.459,18.573
16,5e-05,4,16,4390274,4096,16.1839,906.582,56.847,2787509566656.0,0.0026103356934112053,4.0,4.564605236053467,0.7107843137254902,0.802675585284281,1.3772,296.257,18.879
16,3e-05,4,16,4390274,4096,16.5449,886.801,55.606,2787509566656.0,0.0022217767191645894,4.0,4.525711536407471,0.7107843137254902,0.8033333333333333,1.4303,285.264,18.179
32,0.0003,4,16,4390274,4096,12.5787,1166.417,36.57,2934190524528.0,0.008799003518146017,4.0,4.23660945892334,0.7107843137254902,0.8013468013468014,1.343,303.791,9.68
32,0.0001,4,16,4390274,4096,12.7053,1154.794,36.205,2934190524528.0,0.0017507541438807612,4.0,4.471136569976807,0.7132352941176471,0.8046744574290484,1.3088,311.74,9.933
32,5e-05,4,16,4390274,4096,12.7697,1148.973,36.023,2934190524528.0,0.001239223713460176,4.0,4.485512733459473,0.7181372549019608,0.8086522462562395,1.3418,304.071,9.689
32,3e-05,4,16,4390274,4096,13.2067,1110.954,34.831,2934190524528.0,0.0012782976679179979,4.0,4.477249622344971,0.7156862745098039,0.8066666666666666,1.3287,307.071,9.784
64,0.0003,4,16,4390274,4096,10.801,1358.397,21.48,3065785386480.0,0.0036608543375442767,4.0,4.529826641082764,0.7107843137254902,0.8006756756756757,1.3367,305.233,5.237
64,0.0001,4,16,4390274,4096,10.7497,1364.871,21.582,3065785386480.0,0.0007916651666164398,4.0,4.756054401397705,0.7107843137254902,0.804635761589404,1.3187,309.385,5.308
64,5e-05,4,16,4390274,4096,11.0796,1324.23,20.939,3065785386480.0,0.0007841802234279698,4.0,4.6375041007995605,0.7083333333333334,0.8019966722129783,1.2877,316.843,5.436
64,3e-05,4,16,4390274,4096,10.5236,1394.193,22.046,3065785386480.0,0.0007377334966741759,4.0,4.578395843505859,0.7156862745098039,0.8073089700996677,1.7697,230.548,3.955
