batch_size,learning_rate,rank,alpha,parameters,trainable_parameters,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
32,0.0001,1,2,4387202,1024,12.7845,1147.643,35.981,2912609085552.0,0.001365127252495807,4.0,4.518659591674805,0.7156862745098039,0.8060200668896321,1.3754,296.642,9.452
32,5e-05,1,2,4387202,1024,13.1811,1113.107,34.898,2912609085552.0,0.0013491024141726287,4.0,4.493136405944824,0.7156862745098039,0.8060200668896321,1.3124,310.884,9.906
32,3e-05,1,2,4387202,1024,12.5424,1169.797,36.676,2912609085552.0,0.0013517116722853288,4.0,4.483276844024658,0.7156862745098039,0.8060200668896321,1.3336,305.94,9.748
64,0.0003,1,2,4387202,1024,10.2887,1426.025,22.549,3043236046320.0,0.000926696791731078,4.0,4.539119720458984,0.7181372549019608,0.8092868988391376,1.2971,314.558,5.397
64,0.0001,1,2,4387202,1024,10.3601,1416.202,22.394,3043236046320.0,0.0008888209302877558,4.0,4.498735427856445,0.7205882352941176,0.81,1.3071,312.148,5.355
64,5e-05,1,2,4387202,1024,10.4073,1409.779,22.292,3043236046320.0,0.0008909562923784914,4.0,4.486000061035156,0.7132352941176471,0.8040201005025126,1.3335,305.966,5.249
64,3e-05,1,2,4387202,1024,10.5801,1386.759,21.928,3043236046320.0,0.0008892425946120558,4.0,4.481433391571045,0.7132352941176471,0.8040201005025126,1.3274,307.367,5.273
128,0.0003,1,2,4387202,1024,9.7684,1501.991,11.875,3176350571088.0,0.0013159649639294065,4.0,4.512113571166992,0.7107843137254902,0.802675585284281,1.2902,316.227,3.1
128,0.0001,1,2,4387202,1024,9.9169,1479.5,11.697,3176350571088.0,0.0011884459647639044,4.0,4.486754894256592,0.7107843137254902,0.802675585284281,1.2616,323.41,3.171
128,5e-05,1,2,4387202,1024,9.7335,1507.376,11.918,3176350571088.0,0.0011170162209149066,4.0,4.480515003204346,0.7132352941176471,0.8040201005025126,1.2903,316.199,3.1
128,3e-05,1,2,4387202,1024,9.6773,1516.129,11.987,3176350571088.0,0.0010811434737567243,4.0,4.4779558181762695,0.7132352941176471,0.8040201005025126,1.3196,309.193,3.031
8,0.0003,1,4,4387202,1024,24.6228,595.87,74.565,2616141208032.0,0.005280638182604754,4.0,4.538566589355469,0.7034313725490197,0.7973199329983249,1.4245,286.421,35.803
8,0.0001,1,4,4387202,1024,24.9091,589.021,73.708,2616141208032.0,0.002330143548434596,4.0,4.521620750427246,0.7034313725490197,0.7979966611018364,1.4895,273.919,34.24
8,5e-05,1,4,4387202,1024,24.8205,591.124,73.971,2616141208032.0,0.0014921991653691709,4.0,4.476834774017334,0.7132352941176471,0.8046744574290484,1.4586,279.72,34.965
8,3e-05,1,4,4387202,1024,24.7286,593.321,74.246,2616141208032.0,0.0015832254245130586,4.0,4.473828315734863,0.7156862745098039,0.8060200668896321,1.4784,275.979,34.497
16,0.0003,1,4,4387202,1024,16.5244,887.899,55.675,2767006989504.0,0.002814927836880088,4.0,4.780441761016846,0.7009803921568627,0.7932203389830509,1.3598,300.034,19.12
16,0.0001,1,4,4387202,1024,16.1414,908.965,56.996,2767006989504.0,0.0034199357214991163,4.0,4.550449371337891,0.7132352941176471,0.8033613445378152,1.3885,293.851,18.726
16,5e-05,1,4,4387202,1024,16.7944,873.627,54.78,2767006989504.0,0.002719302985655225,4.0,4.49152946472168,0.7083333333333334,0.8,1.3992,291.593,18.582
16,3e-05,1,4,4387202,1024,16.4942,889.525,55.777,2767006989504.0,0.0025327839524201725,4.0,4.481748580932617,0.7107843137254902,0.802675585284281,1.3717,297.432,18.954
32,0.0003,1,4,4387202,1024,12.6963,1155.615,36.231,2912609085552.0,0.002835746433423913,4.0,4.6049089431762695,0.7083333333333334,0.8006700167504187,1.4468,281.999,8.985
32,0.0001,1,4,4387202,1024,12.5291,1171.038,36.715,2912609085552.0,0.001366031817767931,4.0,4.545969486236572,0.7132352941176471,0.8053244592346089,1.3176,309.663,9.867
32,5e-05,1,4,4387202,1024,12.2464,1198.07,37.562,2912609085552.0,0.0013780621082886406,4.0,4.520038604736328,0.7156862745098039,0.8060200668896321,1.3223,308.544,9.831
32,3e-05,1,4,4387202,1024,11.9087,1232.039,38.627,2912609085552.0,0.0013553063506665437,4.0,4.499951362609863,0.7156862745098039,0.8060200668896321,1.3419,304.042,9.688
64,0.0003,1,4,4387202,1024,10.5129,1395.62,22.068,3043236046320.0,0.0009922201520410076,4.0,4.601309776306152,0.7181372549019608,0.8092868988391376,1.3225,308.503,5.293
64,0.0001,1,4,4387202,1024,10.0802,1455.528,23.015,3043236046320.0,0.0008976929660501151,4.0,4.536304950714111,0.7181372549019608,0.8092868988391376,1.3039,312.914,5.369
64,5e-05,1,4,4387202,1024,10.1011,1452.512,22.968,3043236046320.0,0.0008980540622924937,4.0,4.506959915161133,0.7205882352941176,0.81,1.3259,307.718,5.279
64,3e-05,1,4,4387202,1024,70.6228,207.752,3.285,3043236046320.0,0.000900744428408557,4.0,4.493043899536133,0.7132352941176471,0.8040201005025126,24.7614,16.477,0.283
128,0.0003,1,4,4387202,1024,9.8505,1489.46,11.776,3176350571088.0,0.0014578815678070332,4.0,4.55826473236084,0.7156862745098039,0.8066666666666666,1.2885,316.644,3.104
128,0.0001,1,4,4387202,1024,9.8431,1490.586,11.785,3176350571088.0,0.001326226468743949,4.0,4.513871669769287,0.7107843137254902,0.802675585284281,1.3031,313.096,3.07
128,5e-05,1,4,4387202,1024,9.4801,1547.658,12.236,3176350571088.0,0.0012404213434663311,4.0,4.493907451629639,0.7107843137254902,0.802675585284281,1.3,313.834,3.077
128,3e-05,1,4,4387202,1024,9.6558,1519.496,12.013,3176350571088.0,0.0011845084613767163,4.0,4.485902786254883,0.7132352941176471,0.8040201005025126,1.3764,296.426,2.906
8,0.0003,1,8,4387202,1024,24.5731,597.075,74.716,2616141208032.0,0.005676578137869409,4.0,4.588900089263916,0.6911764705882353,0.7864406779661017,1.4793,275.798,34.475
8,0.0001,1,8,4387202,1024,25.5439,574.385,71.876,2616141208032.0,0.002923436966077435,4.0,4.5475077629089355,0.7107843137254902,0.8033333333333333,1.4947,272.96,34.12
8,5e-05,1,8,4387202,1024,25.205,582.107,72.843,2616141208032.0,0.0022983253164488766,4.0,4.525457859039307,0.7058823529411765,0.8,1.4336,284.593,35.574
8,3e-05,1,8,4387202,1024,25.1441,583.516,73.019,2616141208032.0,0.0014012961005203605,4.0,4.48167610168457,0.7156862745098039,0.8066666666666666,1.4551,280.392,35.049
16,0.0003,1,8,4387202,1024,18.5007,793.053,49.728,2767006989504.0,0.0073332887628804085,4.0,4.58208703994751,0.6887254901960784,0.7858347386172007,2.0535,198.684,12.661
16,0.0001,1,8,4387202,1024,18.8516,778.29,48.802,2767006989504.0,0.004391233039938885,4.0,4.652172088623047,0.7083333333333334,0.8013355592654424,1.6802,242.825,15.474
16,5e-05,1,8,4387202,1024,16.2086,905.197,56.76,2767006989504.0,0.0033721212054724278,4.0,4.5575175285339355,0.7132352941176471,0.8040201005025126,1.3808,295.491,18.83
16,3e-05,1,8,4387202,1024,16.215,904.839,56.737,2767006989504.0,0.0028338904452064762,4.0,4.511127471923828,0.7083333333333334,0.8006700167504187,1.3698,297.849,18.981
32,0.0003,1,8,4387202,1024,12.5104,1172.786,36.769,2912609085552.0,0.005323841260827106,4.0,4.553201198577881,0.7107843137254902,0.8039867109634552,1.3267,307.527,9.799
32,0.0001,1,8,4387202,1024,12.329,1190.044,37.311,2912609085552.0,0.001772784798041634,4.0,4.567946434020996,0.7132352941176471,0.8046744574290484,1.2795,318.863,10.16
32,5e-05,1,8,4387202,1024,12.3287,1190.07,37.311,2912609085552.0,0.0014068576304808907,4.0,4.547189235687256,0.7156862745098039,0.8066666666666666,1.3424,303.942,9.684
32,3e-05,1,8,4387202,1024,12.5969,1164.733,36.517,2912609085552.0,0.0013990823341452558,4.0,4.527152061462402,0.7156862745098039,0.8060200668896321,1.3273,307.398,9.795
64,0.0003,1,8,4387202,1024,10.6718,1374.844,21.74,3043236046320.0,0.0016806415956595849,4.0,4.706212520599365,0.7034313725490197,0.7966386554621848,1.3147,310.339,5.324
64,0.0001,1,8,4387202,1024,11.1347,1317.682,20.836,3043236046320.0,0.000980268650013825,4.0,4.585933208465576,0.7181372549019608,0.8092868988391376,1.295,315.065,5.406
64,5e-05,1,8,4387202,1024,10.5938,1384.963,21.9,3043236046320.0,0.0009139077416781722,4.0,4.547283172607422,0.7205882352941176,0.8106312292358804,1.2942,315.246,5.409
64,3e-05,1,8,4387202,1024,10.5309,1393.228,22.03,3043236046320.0,0.0009056675279962605,4.0,4.520821571350098,0.7181372549019608,0.8086522462562395,1.292,315.785,5.418
128,0.0003,1,8,4387202,1024,9.6935,1513.592,11.967,3176350571088.0,0.0019424763219109897,4.0,4.616020202636719,0.7156862745098039,0.8040540540540541,1.7414,234.295,2.297
128,0.0001,1,8,4387202,1024,9.533,1539.074,12.168,3176350571088.0,0.001471792829447779,4.0,4.557870864868164,0.7181372549019608,0.8080133555926544,1.2914,315.945,3.098
128,5e-05,1,8,4387202,1024,9.5572,1535.172,12.137,3176350571088.0,0.0013727782101466738,4.0,4.527935981750488,0.7156862745098039,0.8066666666666666,1.2896,316.385,3.102
128,3e-05,1,8,4387202,1024,9.7733,1501.238,11.869,3176350571088.0,0.0013347739546463407,4.0,4.507899761199951,0.7107843137254902,0.802675585284281,1.275,319.989,3.137
8,0.0003,1,16,4387202,1024,25.6563,571.868,71.561,2616141208032.0,0.016028388458139756,4.0,4.460167407989502,0.7009803921568627,0.793918918918919,1.4816,275.373,34.422
8,0.0001,1,16,4387202,1024,25.7796,569.132,71.219,2616141208032.0,0.005485290925227479,4.0,4.547307014465332,0.6985294117647058,0.7932773109243697,1.4781,276.026,34.503
