rank,alpha,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
1,2,64,0.0003,6.9507,2110.862,33.378,0.6588426787277748,4.0,0.6271914839744568,0.6813725490196079,0.8088235294117647,0.6109,667.852,11.458,4387202,1024
1,2,64,0.0001,6.8235,2150.204,34.0,0.7135580654801994,4.0,0.6927284002304077,0.5220588235294118,0.587737843551797,0.6183,659.92,11.322,4387202,1024
1,2,64,5e-05,6.8657,2137.008,33.791,0.7346628123316271,4.0,0.7265555262565613,0.3161764705882353,0.014134275618374558,0.6284,649.247,11.139,4387202,1024
1,2,64,3e-05,6.8198,2151.374,34.018,0.7426524984425512,4.0,0.7386116981506348,0.3161764705882353,0.0,0.6119,666.783,11.44,4387202,1024
1,2,128,0.0003,6.2343,2353.43,18.607,0.6922296326735924,4.0,0.659213662147522,0.6593137254901961,0.7768860353130016,0.7605,536.517,5.26,4387202,1024
1,2,128,0.0001,6.3358,2315.747,18.309,0.7337716858962486,4.0,0.7250537276268005,0.31862745098039214,0.02112676056338028,0.6389,638.594,6.261,4387202,1024
1,2,128,5e-05,6.2582,2344.455,18.536,0.7440924808896822,4.0,0.7407467365264893,0.3161764705882353,0.0,0.5837,699.012,6.853,4387202,1024
1,2,128,3e-05,6.2306,2354.816,18.618,0.7481302064040611,4.0,0.7465769648551941,0.3161764705882353,0.0,0.6098,669.017,6.559,4387202,1024
1,4,8,0.0003,19.9321,736.099,92.113,0.6192736324401722,4.0,0.6117095947265625,0.696078431372549,0.8149253731343283,0.7618,535.541,66.943,4387202,1024
1,4,8,0.0001,19.9952,733.776,91.822,0.6312798061661731,4.0,0.6194533705711365,0.6862745098039216,0.8106508875739645,0.7529,541.938,67.742,4387202,1024
1,4,8,5e-05,20.1031,729.836,91.329,0.6455370834450317,4.0,0.6242032051086426,0.6862745098039216,0.8106508875739645,0.8204,497.31,62.164,4387202,1024
1,4,8,3e-05,20.0442,731.983,91.598,0.6638304267833436,4.0,0.6340346932411194,0.6838235294117647,0.8048411497730711,0.7679,531.345,66.418,4387202,1024
1,4,16,0.0003,12.1121,1211.354,75.957,0.6220071212105129,4.0,0.6154399514198303,0.6862745098039216,0.808955223880597,0.6845,596.029,37.982,4387202,1024
1,4,16,0.0001,12.2923,1193.594,74.844,0.639190673828125,4.0,0.6225054860115051,0.6862745098039216,0.8117647058823529,0.6829,597.447,38.073,4387202,1024
1,4,16,5e-05,12.2291,1199.765,75.231,0.6606088721233866,4.0,0.6315215826034546,0.6813725490196079,0.8048048048048048,0.6681,610.654,38.914,4387202,1024
1,4,16,3e-05,12.2091,1201.725,75.354,0.6849991508152173,4.0,0.6556361317634583,0.6666666666666666,0.7834394904458599,0.6612,617.042,39.321,4387202,1024
1,4,32,0.0003,8.587,1708.624,53.569,0.62912365457286,4.0,0.616874635219574,0.6862745098039216,0.8095238095238095,0.6201,657.937,20.964,4387202,1024
1,4,32,0.0001,8.4872,1728.711,54.199,0.6539457901664402,4.0,0.626919150352478,0.6813725490196079,0.8071216617210683,0.6317,645.876,20.579,4387202,1024
1,4,32,5e-05,8.5441,1717.208,53.838,0.6867035575534987,4.0,0.6549235582351685,0.6666666666666666,0.7848101265822784,0.6274,650.349,20.722,4387202,1024
1,4,32,3e-05,8.5748,1711.051,53.645,0.7114541095236073,4.0,0.6907250881195068,0.5269607843137255,0.5970772442588727,0.6752,604.293,19.254,4387202,1024
1,4,64,0.0003,6.8213,2150.897,34.011,0.6399523636390423,4.0,0.6209790706634521,0.6887254901960784,0.8124076809453471,0.61,668.807,11.475,4387202,1024
1,4,64,0.0001,6.8012,2157.254,34.111,0.6809917318409887,4.0,0.6472551226615906,0.6691176470588235,0.7919876733436055,0.5965,683.957,11.735,4387202,1024
1,4,64,5e-05,6.7774,2164.857,34.232,0.7149119541562837,4.0,0.6958010196685791,0.5024509803921569,0.5417607223476298,0.5859,696.351,11.947,4387202,1024
1,4,64,3e-05,6.8896,2129.573,33.674,0.7309564393142174,4.0,0.7211607098579407,0.32107843137254904,0.048109965635738834,0.6151,663.271,11.38,4387202,1024
1,4,128,0.0003,6.2357,2352.919,18.603,0.6597818177321861,4.0,0.6287346482276917,0.678921568627451,0.8059259259259259,0.5873,694.664,6.81,4387202,1024
1,4,128,0.0001,6.2954,2330.607,18.426,0.7133568073141163,4.0,0.692425012588501,0.5245098039215687,0.5907172995780591,0.6301,647.537,6.348,4387202,1024
1,4,128,5e-05,6.3683,2303.919,18.215,0.734076006659146,4.0,0.7257861495018005,0.31862745098039214,0.02112676056338028,0.5796,703.967,6.902,4387202,1024
1,4,128,3e-05,6.1302,2393.387,18.923,0.742138961265827,4.0,0.7379646897315979,0.3161764705882353,0.0,0.5846,697.9,6.842,4387202,1024
1,8,8,0.0003,20.0974,730.046,91.355,0.6170322692472171,4.0,0.6106576919555664,0.7009803921568627,0.817910447761194,0.7962,512.416,64.052,4387202,1024
1,8,8,0.0001,19.8908,737.628,92.304,0.6237521784497762,4.0,0.6207820773124695,0.6911764705882353,0.8130563798219584,0.7556,540.003,67.5,4387202,1024
1,8,8,5e-05,20.1372,728.601,91.174,0.6325367530706402,4.0,0.6208617091178894,0.6813725490196079,0.8076923076923077,0.7601,536.782,67.098,4387202,1024
1,8,8,3e-05,20.1406,728.478,91.159,0.6426295195269949,4.0,0.6244771480560303,0.6838235294117647,0.8088888888888889,0.7792,523.627,65.453,4387202,1024
1,8,16,0.0003,12.1596,1206.623,75.661,0.618353039285411,4.0,0.6119776964187622,0.696078431372549,0.8138138138138138,0.669,609.894,38.866,4387202,1024
1,8,16,0.0001,12.2697,1195.796,74.982,0.6281957211701766,4.0,0.6186457872390747,0.6862745098039216,0.8100890207715133,0.7385,552.478,35.207,4387202,1024
1,8,16,5e-05,12.0703,1215.55,76.22,0.6412724038828974,4.0,0.6240548491477966,0.6838235294117647,0.8088888888888889,0.6789,600.993,38.299,4387202,1024
1,8,16,3e-05,12.1536,1207.212,75.698,0.6568264505137568,4.0,0.6300677061080933,0.6813725490196079,0.8048048048048048,0.7142,571.279,36.405,4387202,1024
